ARTIST,ALBUM,TYPE,YEAR,GENRE
Traffic,Low Sparks of  High Heel Boys,CD,1971,Rock
Traveling Wilburys,Volume 1,CD,1988,Rock
Traveling Wilburys,Volume 3,CD,1990,Rock
"Twain, Shania",The Women in Me,CD,1995,Country
"Twain, Shania",Come on Over,CD,1997,Country
"Twain, Shania",UP,CD,2002,Country
"Washington Jr., Grover",Then and Now,CD,1988,Jazz
"Willis, Kelly",What I Deserve,CD,1999,
"Wilson, Gretchen",Here for the Party,CD,2004,Country
"Wilson, Gretchen",All Jacked Up,CD,2005,Country
"Wilson, Gretchen",One of the Bys,CD,2007,Country
Windham Hill,Winters Soltice II,CD,1988,Jazz
Windham Hill,Sampler '89,CD,1989,Jazz
"Winston, George",Forest,CD,1994,Jazz
"Winwood, Steve",Chronicles,CD,1977,Rock
Yes,Fragile,CD,1972,Rock
Zac Brown Band,Uncaged,CD,2012,Country
"King, BB",80,CD,2005,Blues
"Alan Parsons Project, The",Tales of  Mystery & Imagination,LP,1976,Rock
"Allman Brothers, the",Brothers & Sisters,LP,1973,Rock
Ambrosia,One Eighty,LP,1980,Rock
America,Homecoming,LP,1972,Rock
America,America,LP,1972,Rock
America,Hat Trick,LP,1973,Rock
Aztec Two-Step,Aztec Two-Step,LP,1972,Rock
Aztec Two-Step,Second Step,LP,1975,Rock
Aztec Two-Step,Two's Company,LP,1976,Rock
Baex,Gulf Winds,LP,1976,Soft Rock
Baex,Blowin' Away,LP,1977,Soft Rock
"Baez, Joan",Diamonds & Rust,LP,1975,Soft Rock
"Baez, Joan",'Hits/ Greatest & Others,LP,1975,Soft Rock
"Barbeieri, Gato",Caliente,LP,1976,Jazz
"Barbeieri, Gato","Ruby, Ruby",LP,1977,Jazz
"Barbeieri, Gato",Tropico,LP,1978,Jazz
"Beatles, The",St. Peppers Lonely Heart Club Band,LP,1967,Rock
"Benson, George",In Flight,LP,1977,Jazz
"Big Chill, The",Soundtrack,LP,1983,Soundtrack
"Bloomfield, Kooper, Stills",Super Session,LP,1968,Rock
Bluegrass Banjo,,LP,,Bluegrass
"Blues Brothers, The",Soundtrack,LP,1980,Soundtrack
Bob James & Earl Klugh,One on One,LP,1979,Jazz
"Bolling, Claude","Concerto for  Classic Guitar and Jazz Pi,",LP,1976,Classical
"Bonoff, Karla",Karla Bonof,LP,1977,Rock
"Bonoff, Karla",Rerstless Nights,LP,1979,Soft Rock
Brewer and Shipley,Shake off  the  Demon,LP,1971,Rock
"Browne, Jackson",Saturate Before Using,LP,1972,Rock
"Brubeck, Dave",Two Generations of Brubeck,LP,1973,Jazz
"Brubeck, Dave",Greatest Hits,LP,,Jazz
"Buffett, Jimmy",A white Sport Coat and a Pink Crustracean,LP,1973,Rock
"Buffett, Jimmy",A1A,LP,1974,Rock
"Buffett, Jimmy",Living and Dying in 3/4  time,LP,1974,Rock
"Buffett, Jimmy",Changes in Latitude Changes in Attitude,LP,1977,Rock
"Buffett, Jimmy",Son of a Son of a Sailor,LP,1978,Rock
"Buffett, Jimmy",Volcano,LP,1979,Rock
"Byrds, The",Greatest Hits,LP,1967,Rock
"Byrds, The",The Nororious Byrd Brothers,LP,1968,Rock
"Cars, The",The Cars,LP,1978,Rock
"Clapton, Eric",Slowhand,LP,1977,Rock
"Clapton, Eric",Slowhand,LP,1977,Rock
"Clapton, Eric",Backless,LP,1978,Rock
"Clapton, Eric",Just One Night,LP,1980,Rock
"Cobman, Billy- George, Duke Band, The",Live On Tour in Europe,LP,1976,Jazz
